B17009,bus,Clementi Int,CLEMENTI AVE 3,1.315063,103.763969
B17239,bus,NTUC Fairprice,CLEMENTI AVE 3,1.312322,103.765815
B17159,bus,Blk 365,COMMONWEALTH AVE WEST,1.312001,103.769715
B17099,bus,Aft Dover Rd,CLEMENTI RD,1.308016,103.771716
B16159,bus,NUS Fac of Engrg,CLEMENTI RD,1.300604,103.770171
B16149,bus,NUS Fac of Architecture,CLEMENTI RD,1.29781,103.769956
B16199,bus,NUS Fac of Design & Env,KENT RIDGE CRES,1.296475,103.770761
B16189,bus,Computer Ctr,KENT RIDGE CRES,1.297381,103.772804
B16179,bus,OPP Yusof Ishak Hse,KENT RIDGE CRES,1.29899,103.774199
B16169,bus,NUS Raffles Hall,KENT RIDGE CRES,1.300977,103.772695
B17091,bus,Aft Clementi Ave 1,CLEMENTI RD,1.309045,103.77152
B17151,bus,Blk 410,COMMONWEALTH AVE WEST,1.311711,103.76965
B17161,bus,Opp Blk 329,COMMONWEALTH AVE WEST,1.312408,103.766834
B17171,bus,Clementi Stn,COMMONWEALTH AVE WEST,1.314966,103.764999
